Date,Hour,Minute,DayOfWeek,IsWeekend,Location,Weather,VehicleCount,AverageSpeed,Congestion
2025-07-23,12,0,2,0,Prem Nagar,Cloudy,681,48.4,Medium
2025-02-22,15,0,5,1,Prem Nagar,Clear,292,49.4,Low
2025-06-27,19,30,4,0,Clock Tower,Rain,1364,28.4,High
2025-01-07,19,45,1,0,Clock Tower,Fog,1158,32.8,High
2025-07-05,20,15,5,1,Ballupur Chowk,Cloudy,491,47.8,Low
2025-09-25,14,45,3,0,Ballupur Chowk,Fog,518,36.5,Low
2025-10-31,14,30,4,0,Rajpur Road,Clear,876,38.7,Medium
2025-05-23,20,15,4,0,Ballupur Chowk,Fog,637,33.6,Medium
2025-06-22,6,45,6,1,ISBT,Cloudy,595,46.9,Low
2025-09-07,12,30,6,1,ISBT,Rain,656,36.3,Medium
2025-05-24,14,0,5,1,Prem Nagar,Cloudy,760,44.2,Medium
2025-02-13,13,45,3,0,Ballupur Chowk,Cloudy,941,42.9,Medium
2025-12-20,21,45,5,1,Ballupur Chowk,Clear,554,45.3,Low
2025-02-17,15,15,0,0,Ballupur Chowk,Cloudy,671,44.3,Medium
2025-06-06,17,45,4,0,Prem Nagar,Rain,945,38.5,Medium
2025-08-06,16,30,2,0,Dharampur Chowk,Fog,575,35.1,Low
2025-05-19,15,30,0,0,Rajpur Road,Clear,755,38.4,Medium
2025-04-09,16,0,2,0,Dharampur Chowk,Cloudy,576,48.5,Low
2025-04-09,12,45,2,0,ISBT,Rain,658,38.7,Medium
2025-02-21,12,30,4,0,Rajpur Road,Rain,509,41.2,Low
2025-04-02,15,0,2,0,Dharampur Chowk,Cloudy,541,49.8,Low
2025-05-21,7,0,2,0,Prem Nagar,Rain,467,41.2,Low
2025-12-24,10,45,2,0,Clock Tower,Clear,730,45.5,Medium
2025-10-21,15,45,1,0,Ballupur Chowk,Fog,572,40.7,Low
2025-06-24,11,0,1,0,ISBT,Fog,499,38.2,Low
2025-02-28,8,45,4,0,Ballupur Chowk,Clear,1327,37.9,High
2025-10-23,7,15,3,0,Rajpur Road,Rain,524,42.9,Low
2025-02-13,13,0,3,0,Prem Nagar,Fog,700,35.2,Medium
2025-11-07,13,45,4,0,Ballupur Chowk,Fog,821,34.7,Medium
2025-06-02,19,30,0,0,Prem Nagar,Clear,1022,43.7,Medium
2025-11-09,9,15,6,1,Dharampur Chowk,Cloudy,1066,42.2,High
2025-05-16,8,15,4,0,Rajpur Road,Cloudy,1332,36.0,High
2025-10-10,8,15,4,0,Clock Tower,Fog,1107,30.3,High
2025-08-19,21,30,1,0,Clock Tower,Cloudy,716,44.4,Medium
2025-05-28,15,45,2,0,Clock Tower,Cloudy,698,46.8,Medium
2025-05-16,12,45,4,0,Clock Tower,Cloudy,625,52.3,Low
2025-11-28,10,30,4,0,Rajpur Road,Clear,504,44.2,Low
2025-01-31,11,30,4,0,Prem Nagar,Rain,531,44.8,Low
2025-08-13,9,45,2,0,Dharampur Chowk,Rain,1059,36.8,High
2025-12-25,18,30,3,0,Prem Nagar,Fog,831,32.4,Medium
2025-08-13,8,0,2,0,Ballupur Chowk,Rain,1146,31.6,High
2025-11-06,14,0,3,0,Clock Tower,Cloudy,1137,38.3,High
2025-12-12,6,30,4,0,Prem Nagar,Clear,421,48.0,Low
2025-03-31,21,45,0,0,ISBT,Cloudy,775,42.2,Medium
2025-10-27,19,45,0,0,Clock Tower,Fog,1057,32.6,High
2025-06-28,19,30,5,1,ISBT,Clear,1301,34.9,High
2025-03-24,16,45,0,0,Dharampur Chowk,Fog,410,41.8,Low
2025-05-28,18,0,2,0,Ballupur Chowk,Clear,1236,33.1,High
2025-06-11,14,30,2,0,Clock Tower,Fog,749,35.7,Medium
2025-09-21,6,45,6,1,Ballupur Chowk,Clear,563,51.4,Low
2025-04-07,22,30,0,0,Prem Nagar,Fog,458,40.0,Low
2025-11-17,20,0,0,0,Rajpur Road,Rain,524,39.5,Low
2025-10-09,10,30,3,0,Ballupur Chowk,Fog,505,38.9,Low
2025-03-04,6,15,1,0,Dharampur Chowk,Cloudy,614,43.7,Low
2025-06-09,6,45,0,0,Clock Tower,Cloudy,732,49.1,Medium
2025-02-28,20,0,4,0,Dharampur Chowk,Cloudy,579,47.9,Low
2025-09-13,15,30,5,1,Ballupur Chowk,Fog,486,38.9,Low
2025-08-30,13,45,5,1,Prem Nagar,Cloudy,685,45.3,Medium
2025-07-16,12,15,2,0,Clock Tower,Rain,600,39.1,Low
2025-08-01,16,30,4,0,Clock Tower,Rain,594,43.0,Low
2025-06-02,21,15,0,0,Ballupur Chowk,Fog,623,41.0,Low
2025-06-26,16,45,3,0,Ballupur Chowk,Rain,742,37.1,Medium
2025-04-07,13,45,0,0,Rajpur Road,Fog,787,36.3,Medium
2025-01-23,16,45,3,0,Dharampur Chowk,Fog,623,35.7,Low
2025-07-17,10,45,3,0,Clock Tower,Cloudy,623,44.3,Low
2025-09-15,16,0,0,0,Ballupur Chowk,Clear,463,46.8,Low
2025-09-27,20,0,5,1,Dharampur Chowk,Cloudy,439,49.2,Low
2025-07-29,10,0,1,0,Ballupur Chowk,Rain,597,47.1,Low
2025-06-23,18,0,0,0,ISBT,Fog,1282,27.0,High
2025-06-12,21,0,3,0,Prem Nagar,Clear,415,50.5,Low
2025-05-01,15,15,3,0,Dharampur Chowk,Clear,455,54.0,Low
2025-08-11,9,0,0,0,Ballupur Chowk,Cloudy,1425,33.2,High
2025-12-22,15,0,0,0,Clock Tower,Rain,455,47.6,Low
2025-01-29,15,30,2,0,ISBT,Fog,556,42.8,Low
2025-03-16,13,45,6,1,Prem Nagar,Cloudy,539,45.5,Low
2025-03-29,11,0,5,1,Prem Nagar,Fog,331,42.4,Low
2025-11-14,13,45,4,0,Prem Nagar,Cloudy,748,46.2,Medium
2025-04-29,20,30,1,0,Ballupur Chowk,Rain,484,42.7,Low
2025-12-08,6,45,0,0,ISBT,Cloudy,751,45.8,Medium
2025-02-07,20,30,4,0,Prem Nagar,Rain,495,39.6,Low
2025-11-24,19,30,0,0,Ballupur Chowk,Rain,1094,38.2,High
2025-04-12,18,45,5,1,Clock Tower,Cloudy,1279,34.5,High
2025-07-15,17,30,1,0,Dharampur Chowk,Rain,1200,33.2,High
2025-01-12,18,30,6,1,Clock Tower,Clear,1287,36.8,High
2025-11-07,21,30,4,0,Rajpur Road,Rain,691,45.4,Medium
2025-04-23,12,30,2,0,Dharampur Chowk,Cloudy,568,49.8,Low
2025-11-18,9,0,1,0,ISBT,Fog,1182,34.2,High
2025-01-18,17,15,5,1,Clock Tower,Rain,996,37.8,Medium
2025-06-17,19,15,1,0,Rajpur Road,Cloudy,1395,29.8,High
2025-10-04,17,30,5,1,Rajpur Road,Rain,860,31.6,Medium
2025-09-04,15,30,3,0,Clock Tower,Fog,504,42.0,Low
2025-02-08,10,15,5,1,Dharampur Chowk,Fog,501,40.1,Low
2025-10-13,17,0,0,0,Ballupur Chowk,Clear,1482,29.7,High
2025-05-16,9,45,4,0,ISBT,Rain,1136,33.6,High
2025-10-27,18,30,0,0,Clock Tower,Cloudy,1504,33.4,High
2025-08-30,6,30,5,1,Prem Nagar,Cloudy,269,50.9,Low
2025-11-28,8,45,4,0,Dharampur Chowk,Rain,904,39.1,Medium
2025-11-29,19,0,5,1,Rajpur Road,Clear,1090,36.6,High
2025-01-20,15,45,0,0,Clock Tower,Clear,617,43.0,Low
2025-05-01,10,45,3,0,Ballupur Chowk,Rain,565,44.8,Low
2025-12-10,19,15,2,0,Ballupur Chowk,Clear,1273,38.3,High
2025-09-08,19,30,0,0,Clock Tower,Rain,1221,30.2,High
2025-04-22,20,45,1,0,Rajpur Road,Rain,517,39.5,Low
2025-02-20,17,30,3,0,Clock Tower,Fog,1078,28.0,High
2025-05-22,12,0,3,0,Ballupur Chowk,Clear,790,43.8,Medium
2025-12-06,12,0,5,1,Clock Tower,Rain,447,44.3,Low
2025-05-05,10,15,0,0,Clock Tower,Cloudy,682,44.6,Medium
2025-10-28,12,15,1,0,ISBT,Cloudy,791,46.0,Medium
2025-11-02,6,30,6,1,Rajpur Road,Cloudy,479,46.4,Low
2025-10-04,14,15,5,1,Clock Tower,Clear,835,36.2,Medium
2025-03-09,6,30,6,1,Rajpur Road,Rain,326,49.4,Low
2025-01-09,11,30,3,0,Clock Tower,Cloudy,822,42.5,Medium
2025-08-04,22,0,0,0,Dharampur Chowk,Clear,606,47.3,Low
2025-09-01,20,30,0,0,Prem Nagar,Clear,733,47.9,Medium
2025-08-20,22,15,2,0,Prem Nagar,Clear,477,45.3,Low
2025-12-04,22,30,3,0,Ballupur Chowk,Clear,505,48.4,Low
2025-02-01,21,45,5,1,Ballupur Chowk,Clear,478,43.9,Low
2025-09-09,20,0,1,0,Clock Tower,Rain,540,39.0,Low
2025-11-08,10,0,5,1,Rajpur Road,Rain,582,44.3,Low
2025-11-16,16,45,6,1,Prem Nagar,Rain,372,49.1,Low
2025-08-21,22,45,3,0,Clock Tower,Clear,664,42.9,Medium
2025-12-02,12,45,1,0,Ballupur Chowk,Cloudy,787,45.4,Medium
2025-07-31,16,45,3,0,Ballupur Chowk,Fog,424,40.4,Low
2025-02-18,16,45,1,0,ISBT,Rain,566,37.8,Low
2025-07-11,10,45,4,0,Clock Tower,Clear,732,50.3,Medium
2025-02-13,8,45,3,0,Clock Tower,Rain,1072,36.4,High
2025-03-08,7,30,5,1,Dharampur Chowk,Clear,424,47.5,Low
2025-07-30,17,45,2,0,Dharampur Chowk,Clear,1148,36.0,High
2025-05-28,15,30,2,0,Clock Tower,Cloudy,694,42.6,Medium
2025-03-21,21,15,4,0,Clock Tower,Rain,613,41.1,Low
2025-10-12,17,0,6,1,ISBT,Cloudy,1326,33.3,High
2025-08-08,6,30,4,0,Clock Tower,Cloudy,644,48.1,Low
2025-05-20,15,30,1,0,ISBT,Clear,746,41.4,Medium
2025-04-03,10,45,3,0,Clock Tower,Cloudy,698,47.3,Medium
2025-11-21,6,0,4,0,Dharampur Chowk,Cloudy,455,50.1,Low
2025-07-12,19,45,5,1,ISBT,Cloudy,1292,38.3,High
2025-07-09,15,30,2,0,Prem Nagar,Clear,426,43.5,Low
2025-01-27,10,15,0,0,Prem Nagar,Clear,357,50.0,Low
2025-12-12,8,30,4,0,Ballupur Chowk,Fog,1034,29.5,Medium
2025-09-06,20,45,5,1,ISBT,Cloudy,681,40.3,Medium
2025-09-20,9,30,5,1,Ballupur Chowk,Clear,1072,36.1,High
2025-05-26,21,30,0,0,Clock Tower,Cloudy,638,46.0,Low
2025-07-22,7,0,1,0,Rajpur Road,Rain,457,42.3,Low
2025-04-19,10,30,5,1,ISBT,Rain,621,39.4,Low
2025-03-03,6,45,0,0,Dharampur Chowk,Fog,515,36.3,Low
2025-03-31,10,45,0,0,Prem Nagar,Cloudy,554,51.4,Low
2025-09-14,17,0,6,1,Ballupur Chowk,Clear,951,39.0,Medium
2025-08-12,6,45,1,0,Clock Tower,Rain,638,40.3,Low
2025-10-22,19,45,2,0,Dharampur Chowk,Fog,986,31.1,Medium
2025-05-29,9,45,3,0,Clock Tower,Rain,1191,32.5,High
2025-03-29,20,30,5,1,Clock Tower,Fog,540,40.0,Low
2025-02-24,13,45,0,0,Prem Nagar,Fog,625,36.8,Low
2025-09-26,8,45,4,0,ISBT,Rain,1233,31.1,High
2025-04-24,16,15,3,0,Clock Tower,Clear,689,43.9,Medium
2025-09-29,22,15,0,0,ISBT,Rain,659,46.8,Medium
2025-11-27,10,15,3,0,Clock Tower,Cloudy,760,43.2,Medium
2025-05-12,12,15,0,0,Prem Nagar,Cloudy,607,45.1,Low
2025-12-02,8,15,1,0,Dharampur Chowk,Fog,733,33.5,Medium
2025-08-26,20,30,1,0,Dharampur Chowk,Rain,354,43.9,Low
2025-03-19,20,0,2,0,Ballupur Chowk,Fog,508,44.8,Low
2025-11-20,15,30,3,0,Prem Nagar,Clear,513,47.0,Low
2025-06-30,22,0,0,0,ISBT,Fog,631,31.4,Medium
2025-08-20,7,0,2,0,ISBT,Rain,655,43.0,Medium
2025-02-09,8,45,6,1,Ballupur Chowk,Clear,959,44.7,Medium
2025-08-19,12,30,1,0,Prem Nagar,Fog,417,39.8,Low
2025-09-14,10,0,6,1,Ballupur Chowk,Clear,589,53.4,Low
2025-06-25,8,15,2,0,Clock Tower,Cloudy,1396,35.8,High
2025-12-29,20,45,0,0,Prem Nagar,Cloudy,475,45.7,Low
2025-07-06,17,30,6,1,Ballupur Chowk,Fog,985,30.4,Medium
2025-06-23,7,30,0,0,Clock Tower,Rain,598,40.0,Low
2025-02-18,18,30,1,0,ISBT,Cloudy,1621,32.8,High
2025-06-20,8,15,4,0,ISBT,Rain,1355,29.1,High
2025-12-02,18,15,1,0,Prem Nagar,Clear,1018,37.5,Medium
2025-06-08,18,30,6,1,Rajpur Road,Clear,1025,41.5,Medium
2025-11-27,19,30,3,0,Clock Tower,Rain,1324,28.3,High
2025-06-08,11,15,6,1,ISBT,Fog,550,43.2,Low
2025-04-09,13,15,2,0,Rajpur Road,Clear,930,47.3,Medium
2025-06-01,9,0,6,1,Dharampur Chowk,Rain,795,34.9,Medium
2025-11-13,10,45,3,0,Rajpur Road,Cloudy,471,52.8,Low
2025-04-03,11,45,3,0,Clock Tower,Fog,578,38.6,Low
2025-07-06,13,45,6,1,Prem Nagar,Rain,594,38.1,Low
2025-08-18,13,15,0,0,ISBT,Fog,1062,32.2,High
2025-04-10,17,45,3,0,Ballupur Chowk,Rain,1225,34.7,High
2025-07-15,22,45,1,0,Rajpur Road,Cloudy,652,46.4,Medium
2025-11-06,10,30,3,0,Clock Tower,Fog,463,41.8,Low
2025-07-10,9,0,3,0,ISBT,Clear,1564,36.7,High
2025-03-24,14,45,0,0,Prem Nagar,Cloudy,912,40.4,Medium
2025-08-12,8,15,1,0,Ballupur Chowk,Rain,1061,34.5,High
2025-01-14,19,0,1,0,Ballupur Chowk,Rain,1221,35.8,High
2025-05-01,18,0,3,0,ISBT,Cloudy,1448,38.9,High
2025-01-15,16,0,2,0,Dharampur Chowk,Rain,491,41.7,Low
2025-03-16,10,0,6,1,ISBT,Fog,399,36.3,Low
2025-12-23,10,45,1,0,Ballupur Chowk,Clear,699,45.2,Medium
2025-02-10,6,30,0,0,Rajpur Road,Cloudy,511,43.8,Low
2025-10-08,22,45,2,0,Clock Tower,Rain,565,46.9,Low
2025-05-02,15,0,4,0,Clock Tower,Cloudy,670,40.9,Medium
2025-08-03,20,0,6,1,Clock Tower,Fog,427,40.1,Low
2025-11-02,6,15,6,1,Dharampur Chowk,Cloudy,284,50.8,Low
2025-05-30,19,0,4,0,Prem Nagar,Rain,917,39.0,Medium
2025-05-04,19,15,6,1,Dharampur Chowk,Clear,1164,41.8,High
2025-09-26,17,0,4,0,Prem Nagar,Clear,1018,37.1,Medium
2025-07-19,21,0,5,1,Dharampur Chowk,Fog,587,38.8,Low
2025-07-11,14,0,4,0,ISBT,Clear,1084,39.4,High
2025-06-26,13,0,3,0,Prem Nagar,Rain,688,39.7,Medium
2025-03-10,7,30,0,0,Prem Nagar,Rain,392,42.8,Low
2025-11-26,11,45,2,0,Dharampur Chowk,Fog,445,39.0,Low
2025-11-20,11,15,3,0,Clock Tower,Fog,469,40.6,Low
2025-01-19,15,15,6,1,Clock Tower,Cloudy,566,51.4,Low
2025-01-22,16,30,2,0,Prem Nagar,Fog,177,47.7,Low
2025-10-06,21,30,0,0,Clock Tower,Cloudy,790,37.5,Medium
2025-05-27,17,0,1,0,Dharampur Chowk,Rain,1048,33.9,Medium
2025-05-20,9,30,1,0,Ballupur Chowk,Fog,901,31.8,Medium
2025-08-14,18,30,3,0,Rajpur Road,Fog,909,39.3,Medium
2025-12-21,21,30,6,1,Prem Nagar,Rain,447,47.4,Low
2025-02-12,19,0,2,0,Ballupur Chowk,Cloudy,1477,30.5,High
2025-10-07,15,30,1,0,Clock Tower,Clear,616,47.7,Low
2025-06-17,15,30,1,0,Ballupur Chowk,Fog,409,43.3,Low
2025-03-27,20,30,3,0,Ballupur Chowk,Clear,614,45.1,Low
2025-06-30,19,30,0,0,Dharampur Chowk,Clear,1252,38.4,High
2025-02-08,18,30,5,1,Prem Nagar,Cloudy,899,45.6,Medium
2025-01-16,10,45,3,0,Clock Tower,Cloudy,604,48.2,Low
2025-02-04,13,30,1,0,ISBT,Fog,914,33.0,Medium
2025-10-18,7,15,5,1,Dharampur Chowk,Fog,407,37.4,Low
2025-07-09,17,45,2,0,Clock Tower,Cloudy,1548,32.3,High
2025-09-29,17,45,0,0,ISBT,Rain,1315,34.4,High
2025-05-08,9,0,3,0,Dharampur Chowk,Cloudy,1120,34.8,High
2025-09-13,22,45,5,1,Prem Nagar,Clear,289,52.7,Low
2025-05-15,14,45,3,0,Rajpur Road,Rain,704,45.2,Medium
2025-12-22,21,15,0,0,Clock Tower,Cloudy,524,52.6,Low
2025-02-07,20,15,4,0,Dharampur Chowk,Fog,465,40.1,Low
2025-02-14,16,30,4,0,Dharampur Chowk,Clear,517,48.8,Low
2025-10-09,15,30,3,0,Rajpur Road,Cloudy,611,49.6,Low
2025-07-05,22,15,5,1,Clock Tower,Cloudy,596,46.9,Low
2025-03-13,13,45,3,0,Clock Tower,Rain,879,37.3,Medium
2025-10-11,17,45,5,1,Prem Nagar,Cloudy,952,36.3,Medium
2025-11-10,8,0,0,0,ISBT,Fog,1023,34.6,Medium
2025-09-03,22,45,2,0,Ballupur Chowk,Clear,647,45.2,Low
2025-03-06,16,0,3,0,Ballupur Chowk,Fog,508,40.8,Low
2025-12-15,22,30,0,0,Rajpur Road,Cloudy,571,44.5,Low
2025-03-08,19,0,5,1,Clock Tower,Cloudy,1268,34.0,High
2025-06-05,11,15,3,0,ISBT,Cloudy,774,38.8,Medium
2025-06-27,22,30,4,0,Clock Tower,Rain,674,41.8,Medium
2025-04-11,14,15,4,0,Dharampur Chowk,Rain,794,41.6,Medium
2025-11-11,8,15,1,0,Prem Nagar,Cloudy,1156,41.5,High
2025-03-29,16,0,5,1,Clock Tower,Clear,412,45.3,Low
2025-01-24,14,15,4,0,Prem Nagar,Fog,548,39.2,Low
2025-11-13,6,45,3,0,Dharampur Chowk,Rain,545,40.0,Low
2025-11-25,15,45,1,0,Rajpur Road,Fog,482,37.8,Low
2025-06-02,20,0,0,0,Dharampur Chowk,Clear,511,43.5,Low
2025-03-22,20,45,5,1,Ballupur Chowk,Fog,357,37.8,Low
